period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label
6.66833241,1.915,362.3,1.18,28.06,587.0,4201.0,0.591,4.682,15.058,1
4.082274889,3.23015,17859.0,10.55,251.48,1016.0,5655.0,0.794,4.581,15.198,1
42.1406089,5.083,895.5,1.85,3.49,349.0,4500.0,0.646,4.656,15.791,1
4.617490562,2.2618,575.8,1.62,66.47,728.0,4500.0,0.646,4.656,15.791,1
10.19849255,2.4283,634.1,1.75,23.11,559.0,4500.0,0.646,4.656,15.791,1
5.795063956,3.2496,1692.9,4.33,192.74,950.0,5865.0,0.827,4.563,15.289,0
7.15681552,2.5882,867.0,2.47,88.23,782.0,5029.0,0.838,4.494,15.46,1
17.64830851,2.0873,763.3,2.43,26.49,579.0,5029.0,0.838,4.494,15.46,1
4.14810719,2.535,175.2,1.08,182.76,938.0,5029.0,0.838,4.494,15.46,1
16.51410989,4.1575,973.5,2.72,43.57,655.0,5527.0,0.866,4.488,15.223,1
30.1329298,5.172,1015.8,3.14,19.55,536.0,5527.0,0.866,4.488,15.223,1
4.79090809,2.603,251.3,1.36,227.24,990.0,5527.0,0.866,4.488,15.223,1
31.71981013,4.819,363.4,3.09,71.97,743.0,5869.0,1.626,4.024,12.935,1
99.6415962,4.448,952.5,2.64,3.97,360.0,5527.0,0.866,4.488,15.223,1
4.708326451,3.16114,7912.7,10.6,431.02,1162.0,5560.0,1.21,4.246,15.113,1
16.37198661,3.8449,4147.6,540.37,8.71,438.0,4187.0,0.592,4.656,15.654,0
5.392026903,2.9804,1151.4,2.68,123.33,850.0,5198.0,0.801,4.589,15.651,1
6.491682808,4.301,7163.3,9.66,301.54,1062.0,6123.0,1.107,4.413,15.649,1
3.044770796,10.0134,1695.0,24.54,317.36,1076.0,5525.0,0.753,4.603,15.621,0
3.855603916,3.2179,16653.0,13.61,508.65,1212.0,6033.0,1.046,4.46,15.272,1
3.855599139,3.183,1030.9,3.57,425.74,1158.0,5936.0,0.965,4.501,15.054,0
38.47876629,5.04169,23530.0,13.26,13.01,484.0,5510.0,0.879,4.539,13.779,1
37.601661282,8.30604,59130.0,27.22,31.86,606.0,6140.0,1.096,4.354,15.505,0
3.314947362,1.8007,1398.2,3.94,421.03,1155.0,5609.0,0.944,4.481,15.142,1
6.71969089,3.0231,969.7,4.37,194.18,952.0,5931.0,0.866,4.479,15.172,0
39.6431552,6.5292,15664.0,10.98,11.74,472.0,5231.0,0.9,4.455,15.011,1
51.42598578,16.9422,66068.0,29.66,21.4,549.0,6257.0,1.147,4.41,15.631,0
21.80451611,3.4097,1144.9,2.6,20.48,543.0,5481.0,0.708,4.629,15.067,1
10.28194593,3.4366,1110.7,2.53,50.6,680.0,5196.0,0.775,4.593,15.532,1
18.11993039,4.2309,1506.9,2.95,23.77,563.0,5196.0,0.775,4.593,15.532,1
3.78402867,1.9012,426.1,1.7,191.78,949.0,5196.0,0.775,4.593,15.532,1
5.15448142,3.228,697.5,2.94,204.1,964.0,5431.0,0.884,4.457,15.365,1
33.80364366,11.4813,13494.0,20.7,72.71,745.0,5855.0,1.796,3.999,13.109,0
5.743469797,3.4412,1240.2,3.13,219.95,982.0,5897.0,0.891,4.531,15.543,1
19.974485239,4.23479,40293.0,26.56,56.84,700.0,6108.0,0.997,4.471,15.217,0
3.166353562,3.3129,1473.4,3.82,621.92,1273.0,6007.0,0.998,4.47,15.603,1
23.899634407,3.81881,20953.0,44.04,42.8,652.0,6192.0,0.924,4.503,15.453,0
3.388012244,2.6849,280.1,2.11,705.93,1315.0,5553.0,1.25,4.221,15.065,1
5.83909761,3.1915,273.6,2.06,341.48,1097.0,5553.0,1.25,4.221,15.065,1
1.620467654,2.1888,159.6,1.57,1893.42,1681.0,5553.0,1.25,4.221,15.065,1
10.6816951,3.605,307.8,2.3,152.75,897.0,5553.0,1.25,4.221,15.065,1
6.104849417,4.6912,2090.3,3.18,89.25,784.0,5085.0,0.712,4.584,15.017,1
