koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_steff,koi_srad,koi_disposition
97.4463194,6.765,2141.1,62.8,3.05,4735.0,0.686,CANDIDATE
174.636181,15.679,2500.9,37.1,11.12,5974.0,2.232,CANDIDATE
1.791877025,1.166,46.1,12.5,1.48,6002.0,2.139,CANDIDATE
145.881936,11.342,156.9,11.2,1.8,6052.0,1.424,CANDIDATE
2.50343279,1.534,1156.0,13.2,20.23,5174.0,0.84,CANDIDATE
96.4562198,11.195,950.5,54.6,9.1,7029.0,2.704,CANDIDATE
44.5643831,7.874,360.5,27.0,5.8,7029.0,2.704,CANDIDATE
253.374581,22.889,1104.0,99.9,19.25,5177.0,5.949,CANDIDATE
21.1181653,9.734,112.7,26.3,2.89,6461.0,2.566,CANDIDATE
5.06092282,2.586,71.6,15.7,0.98,5637.0,0.911,CANDIDATE
0.910020582,1.7956,358.1,29.9,1.12,4297.0,0.533,CANDIDATE
1.07808492,0.8551,155.6,22.9,1.01,4906.0,0.814,CANDIDATE
11.1916199,2.1,166.4,11.9,1.47,5646.0,0.956,CANDIDATE
174.731515,8.257,1179.9,16.5,3.0,5201.0,0.897,CANDIDATE
0.858546796,1.1,106.1,12.2,0.88,5269.0,0.864,CANDIDATE
5.518195,1.81,27.1,5.2,0.46,5767.0,0.881,CANDIDATE
75.1122132,4.9458,3751.5,384.0,23.23,6201.0,3.354,CANDIDATE
3.76562031,1.288,232.6,14.6,19.39,5743.0,0.853,CANDIDATE
2.46288834,1.724,47.4,11.9,0.67,5893.0,0.967,CANDIDATE
10.9192653,4.572,91.1,15.0,1.9,5745.0,1.972,CANDIDATE
4.21223579,7.898,116.4,12.8,1.04,5116.0,0.7,CANDIDATE
1.951082219,1.6975,1151.8,30.1,10.35,5302.0,2.426,CANDIDATE
23.1375919,3.35,114.0,12.9,1.83,6078.0,1.683,CANDIDATE
18.9763286,2.379,329.8,11.0,2.24,5300.0,0.986,CANDIDATE
6.34724702,3.097,159.8,11.1,1.35,5300.0,0.986,CANDIDATE
10.76800074,3.494,65.1,14.2,0.92,5874.0,1.096,CANDIDATE
4.32848303,2.955,35.5,11.4,0.66,5874.0,1.096,CANDIDATE
46.15119482,6.3427,1817.3,286.0,10.02,5877.0,1.963,CANDIDATE
4.780327581,2.0253,960.8,380.8,7.14,5937.0,1.787,CANDIDATE
7.64809462,2.216,195.9,12.2,1.19,5641.0,0.85,CANDIDATE
31.0209175,2.012,859.5,15.1,1.66,3720.0,0.48,CANDIDATE
2.118893997,0.822,311.4,11.3,1.41,5504.0,0.796,CANDIDATE
7.49133777,6.315,34.5,14.4,1.01,6177.0,1.71,CANDIDATE
5.4654174,3.209,219.5,14.2,1.23,5612.0,0.829,CANDIDATE
6.06664931,1.962,65.3,10.9,0.87,5569.0,0.892,CANDIDATE
2.184437698,1.0422,1546.8,19.7,0.94,3421.0,0.25,CANDIDATE
15.2311195,3.91,269.1,13.1,1.94,5836.0,1.186,CANDIDATE
4.8099878,1.97,288.2,13.6,1.59,5988.0,0.934,CANDIDATE
5.08288076,2.515,108.0,12.5,1.15,6217.0,1.083,CANDIDATE
31.0259489,5.692,385.4,12.7,1.91,6075.0,0.969,CANDIDATE
