period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,planetTd,StarID
6.238755,3.6178567,373.5681138,2.9728283,587.1290759,1255.4607699,6212.0,1.47768,4.17664,10.2768,1,1237.02,120960812
3.2947689,1.7483103,1324.0402774,2.5248559,56.9377632,700.5995436,3853.0,0.62326,4.63168,11.2582,1,1238.01,153951307
0.7645807,1.07057,394.9832006,1.2407226,399.2723837,1140.0845694,3853.0,0.62326,4.63168,11.2582,1,1238.02,153951307
12.6396982,3.3830702,3292.6812864,4.6025162,39.6563977,640.0266601,5217.0,0.789425,4.59186,10.7192,1,1239.01,154716798
1.7208555,1.8346409,10014.2587401,13.4646314,2259.3896676,1758.3994294,5832.83,1.33402,4.20893,13.8046,1,1240.01,158170594
6.4002807,2.1559875,1026.6018729,2.2730301,56.4368797,699.0536347,4599.0,0.720551,4.58487,11.0157,1,1244.01,219850915
18.6548829,5.4431451,1495.4449473,4.3869878,27.832077,585.8091542,5141.0,0.876154,4.49143,11.1802,1,1246.01,230127302
4.3074513,2.3379196,1094.8419495,3.2819879,196.4755358,954.8757629,5141.0,0.876154,4.49143,11.1802,1,1246.02,230127302
5.9041278,2.7678313,773.9266468,2.4489454,129.0410781,859.6105665,5141.0,0.876154,4.49143,11.1802,1,1246.03,230127302
37.9251983,3.5345219,1370.7888539,3.241643,10.8068346,462.4282696,5141.0,0.876154,4.49143,11.1802,1,1246.04,230127302
15.9234883,4.021,493.0,2.18203,48.5414,735.0,5711.85,1.08,4.38315,8.4724,1,1247.01,232540264
4.3601536,2.3408909,5592.2909183,6.9564258,202.0738994,961.6063113,5227.0,0.874131,4.50479,11.1153,1,1248.01,232612416
13.0791581,2.97,1143.0,3.25485,48.6058,735.0,5453.0,1.0,4.41707,10.2108,1,1249.01,232976128
4.6517186,2.709,978.0,2.66889,540.772,1343.0,5154.0,0.85,4.47072,10.1985,1,125.01,52368076
9.1549418,2.457,1101.0,2.62011,42.2592,710.0,5154.0,0.85,4.47072,10.1985,1,125.02,52368076
19.9815709,2.724,909.0,2.54717,16.5853,562.0,5154.0,0.85,4.47072,10.1985,1,125.03,52368076
1.4415044,0.9274524,547.3172736,3.8345209,5519.1845,2198.3076824,6603.0,1.58365,4.438,6.895,0,1250.01,233059608
4.6756655,1.914,738.0,4.03134,230.204,1085.0,5779.0,1.45,4.88162,9.89947,0,1253.01,233684822
10.288886,1.391,854.0,2.63881,9.06856,483.0,5126.0,0.87,4.49772,9.1416,1,1255.01,237222864
1.0332441,3.8017836,26111.5081972,4.087988,16.7778791,516.1833775,2972.0,0.156193,5.15741,13.5608,0,1256.01,274762761
5.4526479,3.401,7750.0,14.5502,433.78,1271.0,6509.0,1.57,4.17233,9.87463,1,1257.01,278348461
3.4779776,2.5103489,27021.6932424,12.5541925,153.1388971,897.2038496,4699.0,0.765001,4.54638,11.1534,1,1259.01,288735205
3.0354017,2.8809533,16196.2158157,14.1334903,726.7556694,1324.2404714,5751.0,1.07224,4.35036,12.7923,1,126.01,70440470
